ID,bookTitle,bookAuthor,bookISBN,countryOfOrigin,language,publishedDate,publisher,pages,price($$),ratings,reviews
181,Alice Adventures in Wonderland,Ralph Waldo Emerson,873-28-37878-26-1,China,Korean,"Wednesday, July 15, 9840",DynCorp,255,64.38,4.33,Adventure
182,Anna Karenina,Carlos Ruiz Zafon,786-18-16057-50-1,Cabo Verde,Yue,"Tuesday, October 14, 1625",Comcast,183,83.20,4.44,Biography
183,Don Quixote,T. S. Eliot,458-71-31720-78-7,Sudan,Fula,"Sunday, August 18, 8599",Comodo,489,29.25,3.57,Thriller
184,To the Lighthouse,Horatio Alger,766-50-35086-77-0,Bahrain,Serbo-Croatian,"Monday, June 8, 5085",Biolife Grup,337,40.25,4.72,Crime
185,One Hundred Years of Solitude,Jane Austen,232-38-10431-83-7,Serbia,French,"Friday, August 28, 9626",ExxonMobil,295,76.46,1.20,Musical
186,In Search of Lost Time,Carlos Ruiz Zafon,487-87-26443-87-8,Serbia,Yoruba,"Thursday, January 3, 8582",Coca-Cola Company,324,35.92,4.08,Drama
187,The Brothers Karamazov ,Edith Wharton,811-15-50320-45-6,Dominican Republic,Dutch,"Saturday, February 13, 3960",Amazon.com,402,64.59,1.07,Comedy
188, Oedipus at Colonus,Herman Melville,087-12-04227-13-3,Nepal,Sundanese,"Tuesday, April 23, 4205",Amazon.com,478,57.14,4.90,Adventure
189,The Grapes of Wrath,Ralph Waldo Emerson,510-14-72323-25-8,Argentina,Yoruba,"Thursday, January 12, 0260",ExxonMobil,193,24.42,4.22,Romance
190,Tristram Shandy,Flannery O'Connor,682-20-15060-85-4,Maldives,Yoruba,"Sunday, September 18, 2196",UPC,319,20.83,3.53,Family
191,Nineteen Eighty Four,Carlos Ruiz Zafon,618-33-65318-57-6,Seychelles,Spanish,"Tuesday, May 2, 0006",Amazon.com,177,27.02,3.20,Fantasy
192,The Canterbury Tales,Tennessee Williams,066-77-13515-26-4,Mozambique,Sindhi,"Monday, December 31, 9004",Erickson,505,85.08,3.95,History
193,Tristram Shandy,Flannery O'Connor,131-35-02326-84-6,Brunei,Vietnamese,"Tuesday, May 31, 8518",Vodafone,218,20.50,1.13,Musical
194,To Kill a Mockingbird,Edgar Allan Poe,517-46-74747-14-5,Brunei,Bhojpuri,"Monday, June 23, 3400",Team Guard SRL,554,30.98,2.95,Family
195,To the Lighthouse,Alexander Pushkin,702-61-86174-78-1,Palau,Fula,"Sunday, December 2, 7696",ENEL,354,24.89,4.29,Animation
196,Nineteen Eighty Four,F. Scott Fitzgerald,134-43-48354-25-8,Belize,English,"Saturday, July 2, 6444",BuzzFeed,498,28.17,1.62,Fantasy
197,In Search of Lost Time,Kurt Vonnegut,133-55-38303-46-1,Cuba,Yoruba,"Sunday, February 6, 7763",Amazon.com,435,32.42,3.63,Sci-Fi
198,The Handmaid's Tale,Horatio Alger,247-38-21106-85-5,Seychelles,Ukrainian,"Saturday, March 17, 0294",ExxonMobil,188,45.36,3.41,Animation
199,The Grapes of Wrath,Horatio Alger,868-26-01451-67-8,Syria,Turkish,"Sunday, October 14, 9285",Demaco,418,45.55,2.65,Musical
200,The Divine Comedy,Stephenie Meyer,120-22-11276-74-8,Georgia,Korean,"Tuesday, October 13, 9503",Carrefour,456,48.57,2.25,Sci-Fi
201,Les Misérables,Edith Wharton,155-81-23313-56-6,Vatican City,Yoruba,"Saturday, September 4, 3154",Leadertech Consulting,542,64.77,3.95,Musical
202,Alice Adventures in Wonderland,J. R. R. Tolkien,550-77-51118-35-6,Singapore,Yue,"Monday, December 3, 1291",Comcast,284,32.26,2.72,Thriller
203,Paradise Lost,Dr. Seuss,778-21-66436-70-2,Somalia,Uzbek,"Wednesday, July 8, 2325",DynCorp,483,67.43,4.46,Thriller
204,Vanity Fair,Ray Bradbury,250-08-42280-38-3,Honduras,Portuguese,"Monday, February 13, 5347",Erickson,202,12.05,3.93,Musical
205,The Sound and the Fury,Paulo Coelo,317-32-22666-16-5,Ethiopia,Spanish,"Wednesday, August 24, 2918",AECOM,514,90.37,1.64,Crime
206,Les Misérables,Jane Austen,541-16-18628-51-0,Malawi,Vietnamese,"Monday, November 21, 6433",Vodafone,473,77.90,1.45,Biography
207,Wuthering Heights,Stephen King,756-18-81158-04-8,Eritrea,Russian,"Friday, September 14, 7106",ExxonMobil,182,75.12,2.44,Crime
208,In Search of Lost Time,Guillaume Musso,506-37-38524-10-8,Barbados,Russian,"Sunday, December 27, 1046",21st Century Fox,452,26.80,1.83,Action
209,Madame Bovary,John Steinbeck,446-73-25426-65-5,New Zealand,English,"Friday, March 4, 7932",Erickson,440,11.93,2.87,Biography
210,Alice Adventures in Wonderland,F. Scott Fitzgerald,244-28-70663-65-1,Madagascar,Japanese,"Tuesday, June 7, 6067",Global Print,451,10.14,2.68,Romance
211,To the Lighthouse,Emily Dickinson,548-11-11714-67-2,Brazil,Assamese,"Friday, May 9, 7287",Danone,256,39.92,1.63,Musical
212,Oedipus,T. S. Eliot,305-63-51135-40-3,Denmark,Pashto,"Saturday, October 29, 9036",Areon Impex,525,46.78,2.97,Biography
213,Emma,Edgar Allan Poe,464-23-74088-36-5,Swaziland,Urdu,"Wednesday, March 7, 0981",Vodafone,528,11.24,4.90,Thriller
214,Vanity Fair,Horatio Alger,207-02-76501-54-4,Lesotho,Punjabi,"Saturday, January 28, 0445",CarMax,182,71.74,4.59,Adventure
215,Great Expectations,Flannery O'Connor,463-54-47713-36-2,Niger,Nepali,"Thursday, February 20, 5519",Demaco,180,27.31,3.48,Sci-Fi
216,The Red and the Black,Dr. Seuss,384-24-10368-00-4,Cabo Verde,Serbo-Croatian,"Monday, December 7, 1108",21st Century Fox,437,27.19,2.34,Thriller
217,One Hundred Years of Solitude,Mark Twain,361-05-14171-20-6,Cameroon,Japanese,"Thursday, March 16, 6530",Boeing,286,28.86,4.66,Drama
218,Invisible Man,Margaret Atwood,708-65-68078-32-6,Greece,Romanian,"Monday, November 1, 7058",Coca-Cola Company,331,58.16,3.72,Animation
219,The Great Gatsby,Paulo Coelo,713-82-23614-40-6,Japan,Vietnamese,"Wednesday, December 30, 2454",Leadertech Consulting,556,23.69,4.18,Horror
220,Gargantua and Pantagruel,Edgar Allan Poe,820-86-61554-03-3,Taiwan,Hakka,"Wednesday, June 17, 7299",Telekom,436,92.36,4.50,Comedy
221,The Scarlet Letter,G.R.R. Martin,436-34-07744-38-5,Benin,Swedish,"Wednesday, August 1, 7934",AECOM,418,96.79,3.58,Crime
222,The Handmaid's Tale,Danielle Steel,804-14-40166-83-5,France,Mandarin,"Saturday, November 29, 7355",Comcast,260,60.32,4.38,Drama
223,Game of Thrones,Leo Tolstoy,506-34-78481-30-2,Rwanda,Russian,"Thursday, October 8, 9339",Areon Impex,474,14.60,1.01,Family
224,To Kill a Mockingbird,Ernest Hemingway,667-73-44684-77-6,Bolivia,Polish,"Thursday, May 10, 9088",Facebook,375,44.97,3.87,Crime
225,Ulysses,Harper Lee,353-28-47235-66-0,Vatican City,French,"Thursday, March 23, 3251",Carrefour,290,72.21,1.08,Crime
226,The Odyssey,Doris Lessing,618-26-82305-71-7,Taiwan,English,"Tuesday, March 4, 3338",It Smart Group,341,68.68,4.89,Drama
227,The Magic Mountain,Bella Forrest,331-76-45263-80-0,Belize,Chittagonian,"Sunday, March 1, 3114",Boeing,251,88.70,3.43,Drama
228,The Divine Comedy,Jack London,403-06-40530-43-8,Guyana,Hungarian,"Tuesday, March 6, 8604",BuzzFeed,328,43.72,4.49,Sci-Fi
229,In Search of Lost Time,Emily Dickinson,643-85-46608-35-4,Luxembourg,Vietnamese,"Sunday, January 9, 1256",Areon Impex,277,85.22,4.61,Fantasy
230,The Lord of The Rings,Jin Yong,344-28-48854-63-4,Indonesia,Japanese,"Saturday, February 6, 4410",DynCorp,364,63.28,3.49,Action
231,Lord of the Flies,Jules Verne,253-57-53440-58-5,Malta,Sundanese,"Friday, July 2, 0799",Apple Inc.,190,80.50,1.60,Horror
232,War and Peace,Bella Forrest,276-32-05801-58-5,Guyana,Uyghur,"Friday, May 29, 1767",AECOM,186,27.59,4.13,Horror
233,The Sound and the Fury,Stephen King,120-88-52531-55-3,Dominica,Punjabi,"Thursday, November 1, 9010",DynCorp,493,38.19,1.70,Crime
234,David Copperfield,William Faulkner,262-32-06716-80-8,Mongolia,Hindi,"Saturday, June 26, 6979",Metro Cash&Carry,256,71.11,3.14,Adventure
235,Oedipus,Guillaume Musso,071-77-22581-22-7,Antigua and Barbuda,Polish,"Monday, July 30, 1523",ENEL,366,53.28,1.98,Biography
236,The Sound and the Fury,Harper Lee,562-23-86240-16-0,Montenegro,Polish,"Monday, November 28, 6839",Comodo,547,96.91,2.15,Family
237,Wuthering Heights,Dr. Seuss,517-53-68270-88-4,Russia,Bhojpuri,"Thursday, July 2, 5671",21st Century Fox,468,64.81,1.75,Thriller
238,War and Peace,J. R. R. Tolkien,780-15-06314-22-3,Spain,Yue,"Saturday, April 8, 2056",UPC,296,40.78,4.86,Crime
239,Tess of the d'Urbervilles,Carolyn Brown,267-50-14886-33-6,Zimbabwe,Somali,"Monday, September 9, 0830",21st Century Fox,482,64.13,1.19,Romance
240,Robinson Crusoe,Carlos Ruiz Zafon,112-42-60465-11-0,Grenada,German,"Sunday, December 8, 2019",Carrefour,566,73.07,4.23,Animation
241,Moby Dick,J. R. R. Tolkien,564-87-07748-10-1,United Arab Emirates,Arabic,"Monday, April 7, 2588",Amazon.com,327,93.92,4.42,Biography
242,One Thousand and One Nights,F. Scott Fitzgerald,042-54-37012-20-0,Lesotho,Swedish,"Monday, October 17, 3385",Danone,295,82.84,2.36,Biography
243,Nineteen Eighty Four,J. R. R. Tolkien,644-44-37054-46-0,Liechtenstein,Sindhi,"Monday, May 1, 6750",Carrefour,267,62.81,3.40,History
244,The Old Man and the Sea,Herman Melville,562-20-12667-45-4,France,Swedish,"Monday, October 1, 6564",Areon Impex,467,24.06,1.35,Family
245,One Thousand and One Nights,Walt Whitman,670-13-53812-68-1,Armenia,Uyghur,"Sunday, August 26, 6136",Demaco,527,23.57,1.28,Romance
246,Madame Bovary,Emily Dickinson,617-76-08862-27-2,Niger,Malaysian,"Thursday, May 20, 8584",Comcast,249,49.39,4.64,Horror
247,Emma,Flannery O'Connor,278-11-71037-20-3,The Gambia,Serbo-Croatian,"Thursday, November 16, 4862",Danone,448,74.79,1.37,Crime
248,Nineteen Eighty Four,Edgar Allan Poe,681-76-36730-64-5,Liberia,Malaysian,"Tuesday, August 13, 6233",It Smart Group,381,91.86,4.60,Romance
249,The Odyssey,Stephen King,077-84-82453-28-3,Palau,Wu,"Wednesday, September 18, 0712",Erickson,276,24.21,3.14,Romance
250,Lolita,Guillaume Musso,021-55-16526-86-0,Bulgaria,Punjabi,"Sunday, December 19, 4804",ENEL,475,80.98,4.69,Action
251,The Scarlet Letter,Barbara Cartland,517-31-44326-31-2,Bangladesh,Yue,"Monday, February 14, 1820",Erickson,239,76.27,1.38,Biography
252, Oedipus at Colonus,Agatha Christie,237-08-78084-45-4,Jordan,Chittagonian,"Thursday, April 28, 6327",Team Guard SRL,557,82.90,4.29,Horror
253,Lolita,Guillaume Musso,768-83-10772-24-5,Zambia,Spanish,"Monday, February 7, 3572",Leadertech Consulting,366,67.42,4.13,Horror
254,Emma,J. K. Rowling,406-00-12144-12-4,Slovakia,Polish,"Thursday, July 17, 3902",21st Century Fox,380,58.51,3.05,Romance
255,Wuthering Heights,Agatha Christie,217-48-52742-33-4,Singapore,Yue,"Saturday, April 5, 7952",Carrefour,519,12.52,2.25,Adventure
256,The Brothers Karamazov ,Franz Kafka,418-87-87365-28-0,Paraguay,Vietnamese,"Friday, August 5, 0157",Metro Cash&Carry,458,74.10,2.20,Family
257,Great Expectations,T. S. Eliot,532-85-33324-54-2,Taiwan,Belarusian,"Thursday, June 8, 8739",CarMax,234,55.13,1.25,Action
258,The Scarlet Letter,C.S. Lewis,046-45-46333-36-5,Eritrea,Swedish,"Wednesday, November 13, 8768",21st Century Fox,442,30.10,1.28,History
259,Don Quixote,Margaret Atwood,126-00-52660-76-6,Jordan,Dutch,"Tuesday, April 14, 9226",Telekom,490,32.44,4.42,Fantasy
260,The Old Man and the Sea,Guillaume Musso,342-13-41162-58-1,Mauritania,Yoruba,"Thursday, October 15, 5542",Comodo,453,26.50,1.98,Comedy
261,Great Expectations,Franz Kafka,765-04-43176-32-3,Tuvalu,Mandarin,"Saturday, June 1, 3935",BuzzFeed,210,89.58,1.51,Adventure
262,Alice Adventures in Wonderland,Edgar Allan Poe,022-81-13054-46-5,East Timor (Timor-Leste),Portuguese,"Monday, January 28, 7230",Erickson,562,19.45,3.06,Comedy
263,Tess of the d'Urbervilles,Barbara Cartland,155-32-01434-01-0,Cabo Verde,Portuguese,"Tuesday, March 4, 0442",It Smart Group,215,87.08,2.42,Musical
264,Emma,Mary Shelley,767-63-38081-34-7,Morocco,Bengali,"Friday, October 8, 5013",DynCorp,307,46.68,2.19,Drama
265,Ulysses,Edgar Allan Poe,428-47-16653-75-2,Uzbekistan,Thai,"Thursday, May 14, 7435",BuzzFeed,394,61.11,4.53,Sci-Fi
266,The Good Soldier,Ralph Waldo Emerson,844-55-54518-65-4,Turkey,Czech,"Sunday, August 7, 7672",Biolife Grup,293,94.13,2.40,Horror
267,David Copperfield,Mary Shelley,188-35-36182-85-1,China,Greek,"Monday, July 13, 3508",Coca-Cola Company,456,41.44,4.91,Fantasy
268, Oedipus at Colonus,William Faulkner,202-68-53183-80-7,Gabon,Vietnamese,"Thursday, November 16, 3195",DynCorp,306,80.36,3.45,Drama
269,Moby Dick,Jules Verne,413-63-67701-65-0,Kyrgyzstan,Malaysian,"Tuesday, September 5, 6761",Comodo,357,20.18,4.53,Family
270,Oedipus,Flannery O'Connor,652-23-45782-60-7,Malawi,Gan Chinese,"Thursday, February 23, 4834",BuzzFeed,303,71.87,1.45,Romance
271,Vanity Fair,F. Scott Fitzgerald,831-08-20383-15-7,Brunei,Italian,"Tuesday, November 13, 4925",Metro Cash&Carry,495,72.75,3.49,Musical
272,Moby Dick,Danielle Steel,627-21-17415-04-8,Ethiopia,Tamil,"Saturday, June 27, 8076",Telekom,556,44.37,2.93,Fantasy
273,The Metamorphosis,Agatha Christie,645-11-06558-35-7,Canada,Amharic,"Sunday, August 5, 0723",Areon Impex,218,94.05,2.76,Action
274, Oedipus at Colonus,Doris Lessing,742-15-57608-38-1,Thailand,Uzbek,"Wednesday, November 17, 6652",ExxonMobil,186,36.23,1.55,Animation
275,Alice Adventures in Wonderland,Bella Forrest,323-58-37162-02-3,Dominica,Sindhi,"Tuesday, February 18, 1451",Vodafone,473,44.56,2.70,Biography
276,The Magic Mountain,Harper Lee,215-84-02646-86-1,Macedonia,Punjabi,"Friday, September 9, 4444",Metro Cash&Carry,262,17.77,1.82,Horror
277,Pride and Prejudice,Alexander Pushkin,607-61-17461-62-2,Yemen,Bhojpuri,"Thursday, May 15, 6279",Zepter,328,20.06,1.85,Musical
278,Wuthering Heights,Walt Whitman,340-41-28471-48-1,Marshall Islands,Italian,"Wednesday, October 16, 1140",BuzzFeed,348,22.42,3.85,Biography
279,The Metamorphosis,Dr. Seuss,877-27-51101-10-3,Canada,Polish,"Friday, October 3, 3913",Areon Impex,330,95.25,3.77,Comedy
280,Lolita,Herman Melville,136-76-34032-05-2,Iran,Nepali,"Sunday, December 8, 6329",21st Century Fox,328,12.04,3.80,Animation
281,Lord of the Flies,William Faulkner,414-38-80642-30-6,Cameroon,Belarusian,"Sunday, December 15, 4047",BuzzFeed,544,65.62,3.98,Comedy
282,The Sound and the Fury,John Steinbeck,300-01-35166-52-4,Angola,Wu,"Wednesday, October 2, 7376",Mars,170,67.62,4.96,History
283,The Old Man and the Sea,Barbara Cartland,573-31-82422-82-0,Togo,Italian,"Monday, June 10, 4171",Biolife Grup,365,89.98,3.95,Crime
284,The Old Man and the Sea,Nathaniel Hawthorne,310-72-55721-14-8,Belgium,Korean,"Saturday, August 27, 3994",It Smart Group,540,27.59,3.95,Comedy
285,To the Lighthouse,Kurt Vonnegut,784-07-50121-83-2,Uganda,Uzbek,"Monday, June 25, 0610",Boeing,338,62.97,3.41,Fantasy
286,To Kill a Mockingbird,Walt Whitman,547-71-80361-63-4,Vatican City,Wu,"Sunday, August 13, 4220",Carrefour,182,57.36,1.86,Action
287,The Scarlet Letter,Edgar Allan Poe,865-87-84621-22-7,Mozambique,Gan Chinese,"Wednesday, January 30, 0661",Carrefour,347,59.51,1.01,Drama
288,The Canterbury Tales,William Faulkner,168-56-63846-55-7,Bhutan,Wu,"Friday, January 12, 0491",Vodafone,254,36.87,3.25,Romance
289,To Kill a Mockingbird,Ralph Waldo Emerson,238-06-45415-50-3,Jamaica,Sundanese,"Monday, July 11, 4411",Carrefour,339,51.19,2.43,Fantasy
290,The Sound and the Fury,Stephenie Meyer,833-48-06075-72-6,South Africa,Czech,"Saturday, January 21, 4209",BuzzFeed,465,48.04,3.91,Thriller
291,Invisible Man,Alexandre Dumas,245-76-75710-02-5,Dominican Republic,Tamil,"Friday, January 6, 0333",DynCorp,414,78.29,1.10,Fantasy
292,The Old Man and the Sea,Carlos Ruiz Zafon,275-11-87280-58-8,Denmark,Romanian,"Friday, June 27, 9817",21st Century Fox,509,10.75,4.39,Crime
293,The Canterbury Tales,J. K. Rowling,246-66-15348-15-5,Zimbabwe,Assamese,"Monday, August 26, 7258",Biolife Grup,383,37.05,3.60,Musical
294,The Metamorphosis,Jane Austen,057-07-30438-27-3,Ukraine,English,"Wednesday, November 18, 2370",Biolife Grup,527,12.63,4.25,Comedy
295,Invisible Man,Horatio Alger,311-74-22701-62-1,Belgium,Amharic,"Thursday, October 23, 4110",Telekom,494,83.22,4.23,Adventure
296,Vanity Fair,William Faulkner,076-23-10273-21-5,Lebanon,Yoruba,"Wednesday, December 29, 1723",21st Century Fox,445,29.82,1.31,Biography
297,Alice Adventures in Wonderland,Harper Lee,825-47-27233-80-4,Seychelles,Ukrainian,"Thursday, June 2, 7346",It Smart Group,432,14.80,4.59,Crime
298,Great Expectations,C.S. Lewis,058-00-43476-23-7,Mauritania,Polish,"Tuesday, January 31, 5989",Biolife Grup,406,17.34,1.21,Fantasy
299,The Red and the Black,Stephenie Meyer,468-67-01737-00-6,Maldives,Persian,"Wednesday, May 19, 1238",Mars,287,28.56,1.42,Thriller
300,Moby Dick,Mary Shelley,268-05-40164-47-6,Mauritania,Yoruba,"Thursday, December 19, 5376",ENEL,231,29.40,2.66,Romance
301,Gone With the Wind,Jane Austen,162-17-25680-41-1,Kenya,Urdu,"Friday, April 23, 3126",Apple Inc.,187,11.86,4.83,Thriller
302,Gargantua and Pantagruel,Danielle Steel,333-38-68013-03-3,Spain,Greek,"Sunday, April 20, 3327",Erickson,511,18.23,1.16,Romance
303,The Scarlet Letter,John Steinbeck,752-04-42450-13-7,Germany,Wu,"Tuesday, April 11, 9037",Leadertech Consulting,337,57.57,1.42,Sci-Fi
304,The Canterbury Tales,Edgar Allan Poe,112-74-71508-87-1,Palau,Swedish,"Saturday, December 14, 1315",AECOM,555,39.65,3.16,Drama
305,David Copperfield,Ralph Waldo Emerson,815-03-03373-88-1,Tajikistan,Vietnamese,"Saturday, July 4, 5665",Apple Inc.,502,49.57,3.96,Animation
306,Nineteen Eighty Four,Jules Verne,555-61-75728-31-6,Honduras,Gan Chinese,"Monday, September 16, 0897",ENEL,353,17.94,4.31,History
307,The Sun Also Rises,Leo Tolstoy,510-66-47171-73-7,Fiji,Spanish,"Tuesday, July 28, 7293",Leadertech Consulting,221,53.58,2.34,Musical
308,Vanity Fair,J. K. Rowling,664-72-01176-32-3,Saint Vincent and the Grenadines,Spanish,"Saturday, November 11, 7465",Metro Cash&Carry,493,29.12,1.74,Fantasy
309,To the Lighthouse,Margaret Atwood,453-70-34168-17-7,Singapore,Serbo-Croatian,"Wednesday, August 6, 1259",CarMax,251,84.74,2.24,Fantasy
310,The Lord of The Rings,Emily Dickinson,530-25-05124-10-6,Saint Vincent and the Grenadines,Nepali,"Thursday, August 24, 7256",Facebook,293,99.24,2.80,Sci-Fi
311,Invisible Man,G.R.R. Martin,785-06-85387-17-4,Zambia,Hindi,"Friday, November 11, 3025",Comodo,496,11.70,2.40,Fantasy
312,Anna Karenina,Leo Tolstoy,164-10-82371-26-5,Hungary,Hindi,"Thursday, December 30, 8821",Demaco,238,93.28,3.15,Horror
313,The Red and the Black,Jules Verne,216-66-01138-65-3,China,Fula,"Thursday, July 8, 0021",It Smart Group,244,83.77,3.78,Action
314,Robinson Crusoe,Herman Melville,370-18-30635-85-4,Costa Rica,Hakka,"Sunday, January 22, 7262",Facebook,375,35.83,3.41,Thriller
315,The Lord of The Rings,Cormac McCarthy,308-15-87475-58-3,Japan,Tamil,"Monday, November 9, 2674",Demaco,283,13.63,1.40,Drama
316,Oedipus,Jin Yong,036-26-52357-84-7,Vietnam,Hindi,"Friday, March 6, 4342",ExxonMobil,454,60.08,2.12,Crime
317,The Canterbury Tales,Ray Bradbury,376-82-64473-26-4,Guinea,Turkish,"Sunday, January 16, 6985",21st Century Fox,251,27.22,1.40,Fantasy
318,Vanity Fair,Cormac McCarthy,321-54-78700-20-4,Liberia,Hungarian,"Friday, February 29, 5828",AECOM,524,43.50,1.34,Horror
319,Anna Karenina,Herman Melville,554-22-00425-25-1,Ukraine,Hungarian,"Monday, September 28, 9744",DynCorp,398,67.19,4.66,Horror
320,Gone With the Wind,Carolyn Brown,602-55-62448-74-2,Djibouti,Gan Chinese,"Wednesday, December 24, 4110",Coca-Cola Company,475,57.22,3.16,History
321,Paradise Lost,Mary Shelley,365-34-06125-04-5,Georgia,English,"Friday, June 19, 7992",UPC,300,80.53,1.57,Action
322,Lord of the Flies,Agatha Christie,753-20-21733-81-2,Iceland,Wu,"Saturday, May 24, 6555",Facebook,184,48.81,4.86,Romance
323,The Handmaid's Tale,Harper Lee,157-87-42516-32-8,Portugal,Malaysian,"Saturday, December 7, 4430",Team Guard SRL,429,88.46,4.15,Action
324,Lord of the Flies,Cormac McCarthy,743-86-55650-27-7,Solomon Islands,Pashto,"Friday, October 10, 8453",Apple Inc.,558,43.62,3.99,Sci-Fi
325,Gulliver's Travels,Jane Austen,107-32-77634-53-0,Barbados,Vietnamese,"Monday, March 17, 2464",It Smart Group,342,64.38,1.80,Horror
326,Madame Bovary,Carlos Ruiz Zafon,878-25-35428-48-6,Brazil,Dutch,"Thursday, August 10, 8417",Global Print,368,43.50,3.03,Thriller
327,The Odyssey,Flannery O'Connor,664-33-36452-66-0,Liechtenstein,Nepali,"Monday, February 10, 0690",Telekom,210,58.61,2.57,Family
328,Invisible Man,Leo Tolstoy,322-74-07430-52-0,Malawi,German,"Sunday, June 29, 1513",Danone,311,48.77,3.29,Romance
329,To the Lighthouse,Margaret Atwood,117-13-10307-10-5,Eritrea,Turkish,"Thursday, October 23, 7530",Comodo,300,51.79,4.02,Musical
330,Moby Dick,Horatio Alger,465-25-53223-87-8,Grenada,Assamese,"Tuesday, December 5, 7482",Boeing,476,11.76,1.55,History
331,The Sound and the Fury,Henry James,371-58-07328-38-1,Tuvalu,Dutch,"Saturday, December 14, 4571",UPC,308,13.60,4.31,History
332,Anna Karenina,J. K. Rowling,836-27-68323-77-0,Ghana,Pashto,"Sunday, October 28, 4587",Comcast,374,37.88,4.35,History
333,Nineteen Eighty Four,T. S. Eliot,222-58-34810-13-4,Guatemala,Romanian,"Monday, May 12, 8870",Demaco,415,22.04,3.64,Musical
334,The Brothers Karamazov ,Dr. Seuss,488-34-50802-85-2,Rwanda,Spanish,"Tuesday, November 27, 6981",Comcast,197,99.81,1.90,Drama
335,David Copperfield,Oscar Wilde,248-13-73116-87-0,Lesotho,Japanese,"Sunday, January 2, 7014",Carrefour,512,40.37,2.89,Animation
336,In Search of Lost Time,Leo Tolstoy,164-68-85527-24-1,Georgia,English,"Saturday, May 20, 6028",Mars,254,19.01,1.40,Animation
337,Emma,Mary Shelley,162-72-70421-81-6,Canada,Pashto,"Monday, July 17, 3482",ExxonMobil,509,79.86,4.28,Thriller
338,Wuthering Heights,William Shakespeare,633-25-64554-13-0,Sao Tome and Principe,Amharic,"Monday, May 26, 2425",Coca-Cola Company,436,69.54,3.72,Comedy
339,Game of Thrones,Ralph Waldo Emerson,734-43-87775-48-6,Cambodia,Chinese,"Saturday, January 7, 0739",Boeing,340,65.61,1.74,Biography
340,Vanity Fair,Danielle Steel,775-15-06185-81-1,Solomon Islands,Fula,"Tuesday, May 31, 6304",ExxonMobil,538,51.85,1.82,Family
341,Invisible Man,Herman Melville,736-14-78082-35-1,Madagascar,Thai,"Wednesday, May 16, 0496",Amazon.com,255,97.33,3.02,Animation
342,The Old Man and the Sea,F. Scott Fitzgerald,832-31-43577-53-4,Yemen,Swedish,"Wednesday, April 26, 4265",Apple Inc.,317,82.72,2.55,Adventure
343,The Grapes of Wrath,Stephenie Meyer,000-86-40508-45-1,Belize,Uzbek,"Friday, September 7, 6756",Boeing,287,91.95,2.96,Thriller
344,The Great Gatsby,Oscar Wilde,507-14-44766-68-2,Turkmenistan,Pashto,"Tuesday, November 13, 7500",DynCorp,423,14.32,2.60,Romance
345,Gone With the Wind,Walt Whitman,168-84-88803-16-0,Tuvalu,French,"Sunday, June 24, 2666",Team Guard SRL,364,28.21,4.61,Family
346,One Hundred Years of Solitude,Dr. Seuss,654-38-25867-42-1,Taiwan,Bhojpuri,"Tuesday, January 11, 7870",21st Century Fox,210,14.74,1.54,History
347,David Copperfield,Horatio Alger,402-24-22477-76-6,Qatar,Sundanese,"Thursday, July 26, 7274",Coca-Cola Company,393,48.06,1.44,Family
348,The Sun Also Rises,Kurt Vonnegut,737-55-64641-78-2,Singapore,French,"Wednesday, February 9, 0963",It Smart Group,371,10.21,1.39,Animation
349,Robinson Crusoe,John Steinbeck,817-17-56481-10-4,"Congo, Republic of the",Romanian,"Friday, August 19, 8039",ENEL,359,97.54,2.78,History
350,The Canterbury Tales,Guillaume Musso,151-82-36325-15-3,Taiwan,Wu,"Tuesday, April 24, 4192",Telekom,479,46.72,2.87,Fantasy
351,War and Peace,Carolyn Brown,533-33-73301-71-0,Ukraine,English,"Wednesday, August 25, 8771",Coca-Cola Company,507,21.60,2.70,Comedy
352, Oedipus at Colonus,Bella Forrest,770-36-66816-25-1,Finland,Urdu,"Thursday, April 28, 6236",Amazon.com,531,85.33,3.94,Animation
353,Don Quixote,Carlos Ruiz Zafon,706-87-54114-33-0,Uruguay,Turkish,"Monday, November 4, 2852",Danone,470,97.78,1.96,Romance
354,The Sound and the Fury,Danielle Steel,433-05-20183-74-2,Chile,Korean,"Saturday, April 1, 1572",Erickson,236,14.87,3.73,Adventure
355,Oedipus,Guillaume Musso,248-56-45702-67-4,Eritrea,Amharic,"Monday, November 3, 4904",Leadertech Consulting,369,65.07,4.36,Action
356,The Odyssey,J. K. Rowling,473-55-28341-76-4,Brunei,Assamese,"Wednesday, April 15, 8015",Telekom,459,44.94,2.15,Romance
357,Wuthering Heights,Tennessee Williams,412-15-13181-12-5,Paraguay,Russian,"Thursday, July 27, 3967",Boeing,373,34.30,2.76,Family
358,The Flowers of Evil,Jack London,883-38-28285-13-2,Indonesia,Vietnamese,"Thursday, August 7, 3062",DynCorp,305,58.84,1.13,Comedy
359,Alice Adventures in Wonderland,Paulo Coelo,784-33-22866-33-8,Malaysia,Korean,"Sunday, January 18, 9654",Demaco,330,99.54,2.16,Fantasy
360,Lolita,Ernest Hemingway,132-31-63016-80-6,Thailand,Greek,"Monday, December 14, 0499",Demaco,201,88.97,3.98,Action
361,To Kill a Mockingbird,Stephenie Meyer,312-44-77248-12-2,Marshall Islands,Hindi,"Saturday, December 9, 3279",UPC,333,54.13,2.09,Romance
